category,date,method
cs.AI,2008-04,CUSUM
cs.AI,2012-05,CUSUM
cs.AI,2017-02,PELT+CUSUM
cs.AI,2020-08,PELT+CUSUM
cs.AI,2022-09,CUSUM
cs.AI,2023-09,CUSUM
cs.AI,2025-01,CUSUM
cs.CL,2011-05,CUSUM
cs.CL,2013-12,CUSUM
cs.CL,2016-02,CUSUM
cs.CL,2016-05,PELT
cs.CL,2018-03,CUSUM
cs.CL,2020-03,CUSUM
cs.CL,2023-04,CUSUM
cs.CL,2025-01,CUSUM
cs.LG,2008-08,CUSUM
cs.LG,2012-01,CUSUM
cs.LG,2014-11,PELT
cs.LG,2015-10,CUSUM
cs.LG,2018-04,CUSUM
cs.LG,2018-08,PELT
cs.LG,2019-09,CUSUM
cs.LG,2023-04,CUSUM
cs.LG,2024-09,CUSUM
cs.CV,2009-04,CUSUM
cs.CV,2012-08,CUSUM
cs.CV,2014-10,CUSUM
cs.CV,2016-09,PELT
cs.CV,2017-02,CUSUM
cs.CV,2020-02,CUSUM
cs.CV,2022-06,PELT
cs.CV,2023-02,CUSUM
cs.CV,2025-02,CUSUM
