tier,topic_id,mk_tau,mk_pvalue,ts_slope,ts_slope_lo,ts_slope_hi,significant
T1_fine,0,-0.1922,0.0993,-0.000162,-0.000321,3.6e-05,False
T1_fine,1,0.1954,0.0938,8.7e-05,-1.9e-05,0.000226,False
T1_fine,2,0.3206,0.0059,0.000164,6.1e-05,0.000296,True
T1_fine,3,0.1908,0.1021,7.5e-05,-8e-06,0.000154,False
T1_fine,4,-0.0825,0.4788,-4e-05,-0.000138,7.5e-05,False
T1_fine,5,-0.0889,0.4456,-6.1e-05,-0.000192,0.000105,False
T1_fine,6,0.7302,0.0,0.00054,0.000412,0.000692,True
T1_fine,7,-0.3943,0.0007,-0.000161,-0.00027,-7.6e-05,True
T1_fine,8,-0.2812,0.0159,-9.5e-05,-0.000156,-4e-06,True
T1_fine,9,-0.3262,0.0052,-0.000107,-0.000185,-2.7e-05,True
T1_fine,10,-0.2939,0.0117,-0.000122,-0.000208,-2.8e-05,True
T1_fine,11,-0.1989,0.0886,-5.7e-05,-0.000129,1e-06,False
T1_fine,12,-0.0365,0.754,-5e-06,-9.6e-05,7.3e-05,False
T1_fine,13,-0.4051,0.0005,-0.000157,-0.000227,-8.1e-05,True
T1_fine,14,0.0381,0.7437,4e-06,-7.2e-05,9.3e-05,False
T2_medium,0,0.0603,0.6047,4e-05,-0.00013,0.000214,False
T2_medium,1,-0.546,0.0,-0.000293,-0.000386,-0.000191,True
T2_medium,2,0.0159,0.8917,4e-06,-0.000107,0.000122,False
T2_medium,3,-0.2017,0.0836,-0.000151,-0.000306,2.8e-05,False
T2_medium,4,-0.2095,0.0722,-9.2e-05,-0.000192,1.5e-05,False
T2_medium,5,-0.1143,0.3267,-4.9e-05,-0.000159,4.5e-05,False
T2_medium,6,-0.2571,0.0273,-0.000136,-0.00024,-1.8e-05,True
T2_medium,7,-0.0254,0.8275,-7e-06,-9.8e-05,6.8e-05,False
T2_medium,8,0.181,0.1205,6.2e-05,-3.1e-05,0.000154,False
T2_medium,9,-0.2032,0.0813,-7.4e-05,-0.000193,1e-05,False
T2_medium,10,0.4381,0.0002,0.000153,8e-05,0.000239,True
T2_medium,11,0.2476,0.0336,0.000132,9e-06,0.000233,True
T2_medium,12,0.2444,0.0359,9.1e-05,8e-06,0.000186,True
T2_medium,13,0.1238,0.288,4.1e-05,-2.5e-05,0.000103,False
T2_medium,14,-0.1714,0.1413,-7.1e-05,-0.000169,1.8e-05,False
