global_topic,event,prev_clusters,next_clusters,prev_papers,next_papers,merged_topics
1,split,4.0,7.0,38.0,29.0,
2,split,2.0,5.0,31.0,35.0,
3,split,3.0,4.0,21.0,30.0,
4,split,2.0,4.0,13.0,26.0,
5,split,5.0,6.0,31.0,34.0,
6,split,3.0,4.0,12.0,36.0,
9,split,1.0,2.0,15.0,18.0,
11,split,3.0,4.0,15.0,16.0,
12,split,2.0,3.0,15.0,22.0,
13,split,3.0,4.0,17.0,16.0,
16,split,2.0,3.0,18.0,15.0,
20,death,,,8.0,3.0,
21,death,,,5.0,4.0,
22,birth,,,3.0,13.0,
26,split,2.0,4.0,5.0,7.0,
28,death,,,8.0,4.0,
31,birth,,,2.0,11.0,
32,birth,,,3.0,8.0,
33,birth,,,0.0,7.0,
35,birth,,,3.0,8.0,
36,birth,,,2.0,6.0,
37,birth,,,3.0,9.0,
38,birth,,,4.0,11.0,
39,death,,,7.0,3.0,
40,death,,,7.0,2.0,
41,birth,,,3.0,8.0,
42,death,,,9.0,3.0,
43,split,2.0,3.0,7.0,6.0,
45,birth,,,4.0,7.0,
46,split,2.0,3.0,7.0,7.0,
47,birth,,,2.0,6.0,
50,death,,,8.0,3.0,
52,death,,,7.0,3.0,
54,split,1.0,2.0,5.0,9.0,
55,birth,,,2.0,7.0,
57,birth,,,1.0,10.0,
62,birth,,,3.0,6.0,
63,birth,,,1.0,6.0,
67,birth,,,3.0,6.0,
68,death,,,6.0,0.0,
71,birth,,,0.0,5.0,
72,birth,,,2.0,6.0,
73,death,,,5.0,1.0,
74,death,,,5.0,1.0,
76,death,,,5.0,4.0,
81,birth,,,1.0,5.0,
84,birth,,,2.0,6.0,
105,birth,,,2.0,6.0,
10,split,1.0,3.0,9.0,13.0,
15,split,1.0,2.0,5.0,9.0,
16,split,3.0,4.0,15.0,5.0,
18,death,,,11.0,4.0,
21,birth,,,4.0,10.0,
24,split,1.0,3.0,7.0,6.0,
28,birth,,,4.0,7.0,
35,death,,,8.0,1.0,
39,birth,,,3.0,11.0,
40,birth,,,2.0,8.0,
42,birth,,,3.0,10.0,
45,death,,,7.0,2.0,
