topic_id,rank,keyword,weight
0,1,policy,0.013463
0,2,rl,0.012641
0,3,reinforcement learning,0.011625
0,4,reinforcement,0.011575
0,5,offline,0.00951
0,6,policies,0.006904
0,7,learning,0.006884
0,8,embodied,0.006505
0,9,navigation,0.00557
0,10,exploration,0.005532
1,1,clinical,0.020167
1,2,medical,0.017932
1,3,patient,0.00874
1,4,biomedical,0.008122
1,5,healthcare,0.007946
1,6,health,0.005837
1,7,llms,0.005793
1,8,patients,0.005342
1,9,diagnosis,0.004795
1,10,records,0.004651
2,1,molecular,0.021341
2,2,protein,0.014989
2,3,drug,0.013231
2,4,chemical,0.011418
2,5,molecules,0.010073
2,6,discovery,0.009057
2,7,materials,0.008671
2,8,drug discovery,0.007593
2,9,molecule,0.006398
2,10,prediction,0.006171
3,1,equations,0.015134
3,2,neural,0.01345
3,3,differential equations,0.011523
3,4,pdes,0.010948
3,5,differential,0.010858
3,6,physicsinformed,0.010623
3,7,operator,0.009577
3,8,pde,0.009249
3,9,partial differential,0.008055
3,10,nonlinear,0.007923
4,1,editing,0.0157
4,2,image,0.013195
4,3,texttoimage,0.011919
4,4,style,0.010785
4,5,diffusion,0.009613
4,6,images,0.009148
4,7,image editing,0.008971
4,8,generation,0.008369
4,9,image generation,0.007262
4,10,t2i,0.006884
5,1,speech,0.045639
5,2,asr,0.026519
5,3,speech recognition,0.017265
5,4,automatic speech,0.011804
5,5,spoken,0.010531
5,6,recognition,0.010439
5,7,audio,0.009829
5,8,recognition asr,0.009363
5,9,automatic,0.007997
5,10,translation,0.007375
6,1,agents,0.014077
6,2,agent,0.013123
6,3,tool,0.010758
6,4,multiagent,0.009513
6,5,agentic,0.009083
6,6,tools,0.006983
6,7,execution,0.006625
6,8,llm,0.006445
6,9,workflows,0.006104
6,10,llm agents,0.006022
7,1,point,0.023435
7,2,3d,0.021164
7,3,point cloud,0.018909
7,4,cloud,0.017006
7,5,lidar,0.014897
7,6,point clouds,0.012496
7,7,clouds,0.012357
7,8,3d object,0.011063
7,9,object,0.009867
7,10,perception,0.009504
8,1,gradient,0.014526
8,2,networks,0.013122
8,3,descent,0.012731
8,4,neural,0.011193
8,5,sgd,0.011054
8,6,neural networks,0.010806
8,7,gradient descent,0.009983
8,8,convergence,0.009062
8,9,stochastic,0.008425
8,10,adam,0.007973
9,1,emotion,0.041582
9,2,emotional,0.020532
9,3,emotion recognition,0.01825
9,4,emotions,0.016477
9,5,recognition,0.01262
9,6,facial,0.010812
9,7,affective,0.010292
9,8,sentiment,0.00882
9,9,expression,0.00827
9,10,multimodal,0.008164
10,1,driving,0.02351
10,2,traffic,0.021003
10,3,autonomous,0.014696
10,4,autonomous driving,0.013401
10,5,vehicles,0.010185
10,6,vehicle,0.009343
10,7,trajectory,0.008931
10,8,driver,0.007179
10,9,trajectory prediction,0.007088
10,10,scenarios,0.006395
11,1,rendering,0.025366
11,2,gaussian,0.020626
11,3,splatting,0.018692
11,4,gaussian splatting,0.017643
11,5,3d,0.015981
11,6,3dgs,0.015816
11,7,radiance,0.01544
11,8,reconstruction,0.015177
11,9,3d gaussian,0.014128
11,10,scene,0.013244
12,1,students,0.02489
12,2,education,0.016024
12,3,educational,0.015492
12,4,student,0.014936
12,5,knowledge tracing,0.009923
12,6,questions,0.009521
12,7,grading,0.008903
12,8,tutoring,0.008877
12,9,tracing,0.00871
12,10,teaching,0.007975
13,1,causal,0.055926
13,2,causal discovery,0.015942
13,3,variables,0.013238
13,4,discovery,0.010909
13,5,causal inference,0.010345
13,6,counterfactual,0.009736
13,7,treatment,0.009616
13,8,causality,0.009269
13,9,causal models,0.008864
13,10,observational,0.008693
