topic_id,rank,keyword,weight
0,1,speech,0.037283
0,2,asr,0.025815
0,3,speech recognition,0.021012
0,4,automatic speech,0.01193
0,5,recognition,0.011544
0,6,spoken,0.011171
0,7,slu,0.009492
0,8,recognition asr,0.008987
0,9,acoustic,0.008503
0,10,endtoend,0.008162
1,1,adversarial,0.034145
1,2,attacks,0.024275
1,3,attack,0.019155
1,4,adversarial examples,0.01504
1,5,robustness,0.014953
1,6,adversarial attacks,0.013192
1,7,adversarial training,0.011684
1,8,examples,0.01071
1,9,perturbations,0.010466
1,10,defense,0.009931
2,1,graph,0.030188
2,2,node,0.019273
2,3,gnns,0.016533
2,4,graphs,0.014624
2,5,graph neural,0.014613
2,6,gnn,0.011873
2,7,nodes,0.011693
2,8,networks,0.007935
2,9,node classification,0.00719
2,10,networks gnns,0.006802
3,1,gradient,0.014168
3,2,descent,0.013178
3,3,sgd,0.012611
3,4,gradient descent,0.011286
3,5,networks,0.010528
3,6,neural networks,0.010108
3,7,neural,0.0092
3,8,convergence,0.009082
3,9,stochastic,0.008792
3,10,generalization,0.008676
4,1,translation,0.045288
4,2,machine translation,0.0335
4,3,neural machine,0.020139
4,4,nmt,0.019059
4,5,machine,0.015742
4,6,mt,0.0121
4,7,bleu,0.010953
4,8,languages,0.010403
4,9,multilingual,0.009658
4,10,language pairs,0.008937
5,1,patients,0.01204
5,2,covid19,0.012007
5,3,health,0.009023
5,4,patient,0.008772
5,5,ecg,0.008601
5,6,disease,0.007923
5,7,heart,0.007779
5,8,survival,0.00734
5,9,clinical,0.006423
5,10,machine learning,0.006091
6,1,scheduling,0.011914
6,2,problem,0.011273
6,3,routing,0.009745
6,4,problems,0.009346
6,5,combinatorial,0.008135
6,6,heuristic,0.008054
6,7,search,0.008026
6,8,optimization,0.007895
6,9,reinforcement,0.007162
6,10,combinatorial optimization,0.007146
7,1,dialogue,0.038928
7,2,dialog,0.021302
7,3,taskoriented,0.013721
7,4,response,0.013654
7,5,dialogue systems,0.012545
7,6,conversational,0.012115
7,7,responses,0.011385
7,8,opendomain,0.009845
7,9,conversation,0.008483
7,10,taskoriented dialogue,0.008452
8,1,time series,0.026781
8,2,series,0.023907
8,3,forecasting,0.020695
8,4,time,0.014945
8,5,power,0.011499
8,6,energy,0.009207
8,7,series forecasting,0.007807
8,8,wind,0.007674
8,9,multivariate,0.00734
8,10,timeseries,0.006061
9,1,clinical,0.026542
9,2,biomedical,0.014902
9,3,medical,0.014164
9,4,notes,0.01228
9,5,clinical notes,0.008975
9,6,health,0.008535
9,7,icd,0.008148
9,8,extraction,0.007447
9,9,patients,0.006845
9,10,nlp,0.006789
10,1,equations,0.018696
10,2,differential equations,0.014869
10,3,differential,0.014564
10,4,pdes,0.012736
10,5,physicsinformed,0.010653
10,6,neural,0.009909
10,7,partial differential,0.009891
10,8,pinns,0.009841
10,9,pde,0.009802
10,10,physics,0.009424
11,1,ai,0.040562
11,2,intelligence,0.023402
11,3,artificial,0.016576
11,4,artificial intelligence,0.014218
11,5,trust,0.011125
11,6,ai systems,0.010661
11,7,systems,0.009874
11,8,cognitive,0.009686
11,9,ethics,0.009404
11,10,ethical,0.009219
12,1,causal,0.05325
12,2,variables,0.011884
12,3,causal inference,0.010778
12,4,observational,0.010742
12,5,causal discovery,0.010403
12,6,causality,0.010225
12,7,treatment,0.010073
12,8,bayesian,0.008813
12,9,effect,0.008567
12,10,discovery,0.007805
13,1,anomaly,0.05322
13,2,anomaly detection,0.043692
13,3,anomalies,0.020766
13,4,detection,0.019707
13,5,normal,0.011394
13,6,anomalous,0.010974
13,7,time series,0.007046
13,8,abnormal,0.006884
13,9,series,0.00635
13,10,autoencoder,0.006216
14,1,bandit,0.033941
14,2,regret,0.03369
14,3,bandits,0.028598
14,4,arm,0.016439
14,5,multiarmed,0.015008
14,6,arms,0.014129
14,7,online,0.012155
14,8,bound,0.012041
14,9,algorithm,0.011606
14,10,reward,0.009447
15,1,policy,0.026105
15,2,rl,0.017844
15,3,offline,0.016932
15,4,reinforcement learning,0.014924
15,5,reinforcement,0.014776
15,6,offpolicy,0.012625
15,7,value,0.010172
15,8,mdps,0.008759
15,9,offline rl,0.00859
15,10,algorithms,0.008357
16,1,continual,0.038707
16,2,continual learning,0.033507
16,3,forgetting,0.026751
