topic_id,rank,keyword,weight
0,1,dialogue,0.038819
0,2,dialog,0.023357
0,3,conversational,0.014356
0,4,conversation,0.013525
0,5,responses,0.012191
0,6,response,0.011327
0,7,dialogue systems,0.010875
0,8,utterances,0.009452
0,9,user,0.008545
0,10,taskoriented,0.008446
1,1,speech,0.042317
1,2,speech recognition,0.022761
1,3,acoustic,0.017773
1,4,asr,0.015392
1,5,recognition,0.014334
1,6,audio,0.011235
1,7,speaker,0.011105
1,8,automatic speech,0.009434
1,9,endtoend,0.009207
1,10,ctc,0.00835
2,1,translation,0.048119
2,2,machine translation,0.03526
2,3,nmt,0.029727
2,4,neural machine,0.028593
2,5,machine,0.019917
2,6,bleu,0.012521
2,7,translation nmt,0.011855
2,8,transformer,0.010325
2,9,neural,0.010262
2,10,decoding,0.008655
3,1,adversarial,0.044667
3,2,attacks,0.029244
3,3,adversarial examples,0.023453
3,4,attack,0.02118
3,5,examples,0.017759
3,6,robustness,0.017096
3,7,perturbations,0.014797
3,8,adversarial attacks,0.013615
3,9,defense,0.010651
3,10,adversarial training,0.009937
4,1,segmentation,0.024822
4,2,ct,0.011427
4,3,tumor,0.010771
4,4,images,0.009959
4,5,cancer,0.009897
4,6,medical,0.008307
4,7,lung,0.008268
4,8,breast,0.008206
4,9,image,0.008086
4,10,brain,0.007606
5,1,word,0.03988
5,2,embeddings,0.02302
5,3,word embeddings,0.020088
5,4,sense,0.017154
5,5,words,0.015695
5,6,semantic,0.013867
5,7,distributional,0.013246
5,8,word sense,0.011538
5,9,similarity,0.011534
5,10,representations,0.010254
6,1,regret,0.034275
6,2,bandit,0.031778
6,3,bandits,0.023101
6,4,multiarmed,0.019982
6,5,arm,0.014754
6,6,arms,0.014084
6,7,multiarmed bandit,0.01404
6,8,bound,0.013686
6,9,algorithm,0.012352
6,10,online,0.010878
7,1,graph,0.045922
7,2,graphs,0.022038
7,3,node,0.019257
7,4,nodes,0.013332
7,5,embedding,0.010127
7,6,graph neural,0.009924
7,7,gnns,0.009328
7,8,graph convolutional,0.009001
7,9,networks,0.008386
7,10,network embedding,0.007204
8,1,question,0.035025
8,2,comprehension,0.027758
8,3,reading,0.025091
8,4,answer,0.02476
8,5,reading comprehension,0.023758
8,6,answering,0.022786
8,7,question answering,0.021448
8,8,questions,0.020765
8,9,qa,0.020746
8,10,answers,0.014039
9,1,ai,0.042126
9,2,intelligence,0.041583
9,3,artificial,0.02877
9,4,artificial intelligence,0.024634
9,5,ethical,0.018177
9,6,ethics,0.013721
9,7,systems,0.012464
9,8,cognitive,0.011885
9,9,machines,0.010506
9,10,moral,0.009811
10,1,networks,0.018049
10,2,neural networks,0.014968
10,3,neural,0.012741
10,4,deep,0.012664
10,5,functions,0.012368
10,6,relu,0.012362
10,7,generalization,0.011909
10,8,activation,0.010141
10,9,minima,0.010045
10,10,gradient,0.009883
11,1,knowledge graph,0.034533
11,2,knowledge,0.033982
11,3,knowledge graphs,0.026847
11,4,graph,0.023651
11,5,graphs,0.021808
11,6,embedding,0.021038
11,7,entities,0.019407
11,8,kg,0.016193
11,9,link prediction,0.015291
11,10,link,0.014938
12,1,action,0.045581
12,2,action recognition,0.028476
12,3,video,0.022925
12,4,temporal,0.020647
12,5,recognition,0.016315
12,6,videos,0.014346
12,7,actions,0.013291
12,8,spatiotemporal,0.01159
12,9,action detection,0.009735
12,10,human action,0.009506
13,1,domain,0.038749
13,2,domain adaptation,0.031571
13,3,adaptation,0.030741
13,4,target,0.021899
13,5,source,0.019584
13,6,transfer,0.016631
13,7,target domain,0.014747
13,8,transfer learning,0.014193
