topic_id,rank,keyword,weight
0,1,planning,0.02359
0,2,policy,0.016519
0,3,reinforcement,0.015973
0,4,reinforcement learning,0.015732
0,5,state,0.010312
0,6,search,0.009809
0,7,markov decision,0.009573
0,8,value,0.009493
0,9,learning,0.009376
0,10,plan,0.009184
1,1,segmentation,0.026126
1,2,image,0.015501
1,3,images,0.011941
1,4,image segmentation,0.01191
1,5,edge,0.008586
1,6,detection,0.008081
1,7,method,0.006861
1,8,medical,0.006489
1,9,cancer,0.006247
1,10,brain,0.006099
2,1,deep,0.020097
2,2,networks,0.01897
2,3,neural,0.017863
2,4,neural networks,0.016618
2,5,convolutional,0.01507
2,6,network,0.011844
2,7,layers,0.011185
2,8,training,0.011079
2,9,convolutional neural,0.010031
2,10,deep neural,0.008985
3,1,regret,0.038106
3,2,bandit,0.02293
3,3,online,0.022085
3,4,bandits,0.017709
3,5,multiarmed,0.014552
3,6,bounds,0.013299
3,7,optimization,0.012901
3,8,online learning,0.012804
3,9,bound,0.01265
3,10,algorithm,0.012254
4,1,face,0.063295
4,2,face recognition,0.031394
4,3,recognition,0.021433
4,4,facial,0.018375
4,5,faces,0.01388
4,6,face images,0.01253
4,7,images,0.012148
4,8,face detection,0.010039
4,9,skin,0.009715
4,10,pose,0.008819
5,1,intelligence,0.028578
5,2,ai,0.019265
5,3,artificial,0.017268
5,4,cognitive,0.014922
5,5,agents,0.011652
5,6,artificial intelligence,0.011583
5,7,human,0.011333
5,8,systems,0.01077
5,9,universal,0.010455
5,10,brain,0.009931
6,1,ontology,0.043974
6,2,web,0.030789
6,3,ontologies,0.029762
6,4,semantic,0.021575
6,5,semantic web,0.021082
6,6,knowledge,0.020744
6,7,owl,0.014112
6,8,services,0.013779
6,9,rdf,0.011627
6,10,rules,0.011548
7,1,logic,0.043392
7,2,programs,0.041534
7,3,answer,0.037466
7,4,answer set,0.035015
7,5,programming,0.033685
7,6,asp,0.030908
7,7,logic programs,0.027808
7,8,semantics,0.027137
7,9,set programming,0.023253
7,10,stable,0.019376
8,1,texts,0.022785
8,2,words,0.022551
8,3,word,0.020049
8,4,language,0.019674
8,5,languages,0.017524
8,6,length,0.014538
8,7,law,0.013211
8,8,authorship,0.01271
8,9,linguistic,0.012621
8,10,frequency,0.01207
9,1,tracking,0.059396
9,2,tracker,0.017946
9,3,object,0.017897
9,4,object tracking,0.014368
9,5,trackers,0.01316
9,6,visual tracking,0.012806
9,7,crowd,0.011864
9,8,appearance,0.011661
9,9,particle,0.010586
9,10,target,0.010336
10,1,stochastic,0.025763
10,2,gradient,0.021732
10,3,optimization,0.021101
10,4,descent,0.019404
10,5,convergence,0.01922
10,6,convex,0.016251
10,7,functions,0.014161
10,8,gradient descent,0.013862
10,9,distributed,0.013785
10,10,submodular,0.01373
11,1,fuzzy,0.017581
11,2,forecasting,0.013865
11,3,prediction,0.012681
11,4,data,0.010197
11,5,energy,0.010171
11,6,data mining,0.009965
11,7,time series,0.009213
11,8,mining,0.009
11,9,stock,0.008823
11,10,power,0.008607
12,1,clustering,0.060577
12,2,kmeans,0.030749
12,3,cluster,0.026455
12,4,clusters,0.022377
12,5,clustering algorithm,0.017129
12,6,algorithm,0.014585
12,7,data,0.013737
12,8,clustering algorithms,0.011823
12,9,points,0.011692
12,10,kmeans algorithm,0.010096
13,1,speech,0.057629
13,2,speech recognition,0.036836
13,3,acoustic,0.02703
13,4,recognition,0.022717
13,5,speaker,0.021805
13,6,dnn,0.012974
13,7,automatic speech,0.011776
13,8,phoneme,0.010966
13,9,neural,0.010543
13,10,asr,0.009877
14,1,grammar,0.041347
14,2,parsing,0.038938
14,3,grammars,0.031862
14,4,parser,0.029906
14,5,dependency,0.018061
14,6,language,0.017875
14,7,syntactic,0.017478
14,8,parsers,0.016535
14,9,sentences,0.015236
14,10,parse,0.015012
15,1,disambiguation,0.021883
15,2,word,0.021799
15,3,sense,0.020245
15,4,semantic,0.019908
15,5,sense disambiguation,0.018673
15,6,word sense,0.01839
15,7,lexical,0.017806
15,8,wordnet,0.016615
15,9,similarity,0.015294
15,10,words,0.014975
16,1,causal,0.083826
16,2,variables,0.029572
16,3,independence,0.017883
16,4,causal models,0.016556
16,5,causal discovery,0.015778
16,6,models,0.014536
16,7,acyclic,0.013856
16,8,directed,0.01384
16,9,discovery,0.013659
16,10,graphs,0.012932
17,1,sentiment,0.066614
17,2,sentiment analysis,0.035225
17,3,polarity,0.023991
17,4,twitter,0.022477
17,5,reviews,0.022289
17,6,tweets,0.019884
17,7,opinion,0.01889
17,8,analysis,0.018093
17,9,social,0.016689
17,10,opinions,0.014166
18,1,multiobjective,0.020676
18,2,evolutionary,0.01873
18,3,optimization,0.018261
18,4,ant,0.016488
18,5,genetic,0.014983
18,6,local search,0.013977
18,7,problem,0.013847
18,8,search,0.013669
18,9,algorithm,0.012044
18,10,colony,0.011277
19,1,question,0.032886
19,2,answering,0.027901
19,3,question answering,0.027469
19,4,answer,0.022618
19,5,questions,0.021055
19,6,natural language,0.016312
19,7,sentence,0.015538
19,8,neural,0.014153
19,9,natural,0.013867
19,10,answers,0.013071
20,1,action,0.056783
20,2,action recognition,0.040306
20,3,recognition,0.022958
20,4,video,0.019418
20,5,actions,0.016117
20,6,videos,0.015561
20,7,human,0.015186
20,8,human action,0.01492
20,9,temporal,0.014806
20,10,activity,0.012896
21,1,sat,0.05425
21,2,satisfiability,0.023574
21,3,solvers,0.023174
21,4,maxsat,0.021947
21,5,instances,0.021285
21,6,boolean,0.020044
21,7,solver,0.02
21,8,solving,0.017663
21,9,clauses,0.015759
21,10,csp,0.015455
22,1,word,0.050143
22,2,embeddings,0.029834
22,3,representations,0.023488
22,4,words,0.0216
22,5,word embeddings,0.020284
22,6,semantic,0.019016
22,7,word representations,0.018956
22,8,embedding,0.017442
